ATM_ID,Location_Type,Manufacturer,Year_of_Installation,Service_Contract_Type,Last_Maintenance_Date,Frequency_of_Maintenance,Downtime_Duration_hours,Number_of_Incidents,Maintenance_Costs_USD,Transaction_Volumes,Average_Withdrawal_Amount,Card_Reader_Error_Rate_percent,Cash_Dispenser_Jam_Rate_percent,ATM_Age_Years
ATM_30,Standalone,Diebold,2022,Self-Service,09-07-2003,3,54.22217362,3,258.8594587,11006,106.1975749,0.943831957,0.574524606,10
,Shopping Mall,,2017,Self-Service,25-12-2014,1,,4,612.6600989,9236,102.485899,4.325571616,1.133507725,
ATM_32,Airport,NCR,2000,Full-Service,14-04-2017,,,10,665.4921741,7073,80.20054706,4.50367341,0.333919524,12
ATM_33,Standalone,NCR,2004,Full-Service,,0,,5,450.8854475,6658,99.62976469,2.097966594,3.38091829,22
ATM_34,,Diebold,2008,Full-Service,31-05-2024,2,,,205.7917358,18870,105.7890989,2.157539763,2.875531498,11
,Shopping Mall,,2023,Full-Service,,3,17.49984716,2,465.0463868,17802,108.7107121,3.616557784,4.936149121,8
ATM_36,Standalone,Diebold,,Self-Service,06-12-2000,3,55.85639426,1,758.5302629,,124.9428344,4.470823369,0.138349248,16
ATM_37,Bank Branch,NCR,2009,,,,35.72730292,3,451.1139761,10489,115.5502362,0.131131702,4.687751111,17
ATM_38,Shopping Mall,Wincor Nixdorf,2020,Parts-Only,,,48.34318295,2,,19273,96.21106355,,3.806099945,5
,Standalone,Diebold,,Parts-Only,23-01-2013,1,50.73159145,1,664.1797718,14268,115.9977217,2.341007845,0.260867307,1
ATM_40,Bank Branch,Diebold,2005,Self-Service,07-10-2022,4,46.75181388,4,545.7477945,15666,,2.316218105,2.006142581,
ATM_41,Bank Branch,NCR,2015,Parts-Only,07-03-2002,1,57.99768043,3,,,84.03784459,4.001838631,1.459090896,5
ATM_42,Shopping Mall,Diebold,2011,Self-Service,29-04-2015,1,,0,540.9272057,5103,111.4664751,0.255145357,1.55644198,0
ATM_43,Standalone,Diebold,2015,Parts-Only,11-05-2022,4,25.51663296,6,466.2939106,3032,104.305193,4.167471108,3.332136559,8
ATM_44,,Wincor Nixdorf,2004,Parts-Only,11-08-2007,3,66.65619731,1,432.4634948,10410,112.3640778,,2.14293923,8
ATM_45,Airport,NCR,2010,Parts-Only,08-02-2004,4,56.16829455,1,280.1580457,2417,111.1925893,3.027276742,0.583832244,0
ATM_46,Bank Branch,Wincor Nixdorf,2019,Full-Service,,,53.85324716,2,311.427187,8548,104.5458458,0.56215689,2.001863195,3
ATM_47,Airport,Diebold,2010,Parts-Only,13-03-2012,4,25.51780873,5,360.444331,10838,123.5915028,2.883373135,2.475641164,10
ATM_48,Airport,Diebold,2007,Self-Service,13-12-2017,0,56.81450396,3,459.8783276,13571,93.03128682,3.018793937,0.244486757,2
ATM_49,Standalone,NCR,2015,Full-Service,23-06-2018,1,8.195750023,5,462.0514718,5144,70.8439085,0.633889401,4.833848507,7
ATM_50,Standalone,NCR,,Full-Service,04-09-2003,2,51.4104111,2,404.6301709,9607,103.141341,2.74636444,3.147056725,10
ATM_51,Standalone,,2002,Self-Service,04-12-2001,,55.39315949,2,667.995815,3503,145.9805673,0.725568252,3.839580696,
ATM_52,Standalone,,2002,Full-Service,06-11-2021,4,34.72204202,3,501.2238011,1642,37.96467312,4.53232804,1.927889863,5
ATM_53,Shopping Mall,Diebold,2008,Self-Service,24-07-2005,2,55.95374546,,409.4562978,6679,119.1054777,3.351273103,,19
ATM_54,Bank Branch,Diebold,2014,Self-Service,04-04-2023,0,64.83203211,3,706.0037651,19504,118.6494131,4.913456641,0.060497822,1
ATM_55,Airport,NCR,2003,,,1,62.96457119,,690.3366767,18702,100.7271724,4.515813179,1.268863745,3
ATM_56,Shopping Mall,NCR,2004,Parts-Only,07-11-2015,2,59.47545808,1,554.3758473,11003,112.8332014,1.914623208,1.426310888,1
,Bank Branch,Diebold,2011,Full-Service,28-11-2000,5,20.63747646,4,433.8871086,9171,123.2404245,2.20257588,4.789053324,19
,Airport,Wincor Nixdorf,2023,Parts-Only,04-12-2001,1,28.04025242,4,393.1555129,12560,94.48060142,3.754745342,2.568083815,14
ATM_59,Shopping Mall,Wincor Nixdorf,2011,Full-Service,,1,45.06014925,3,494.2535172,13946,120.064371,2.868085976,,7
ATM_60,Standalone,,2007,Self-Service,13-03-2015,0,35.18863529,4,517.8126498,4183,101.9584576,4.828343153,3.681471492,1
ATM_61,Shopping Mall,NCR,,Self-Service,29-08-2004,0,22.14229041,5,503.4189022,4473,99.83279246,4.129647444,1.51829594,12
,Airport,Diebold,2002,Self-Service,15-07-2024,4,,4,543.1401449,8454,148.0842189,1.812779408,4.098144387,23
ATM_63,Airport,Wincor Nixdorf,2021,Full-Service,23-08-2020,1,43.65987909,2,489.5662951,12101,95.64828125,0.098355457,0.138620439,11
,Shopping Mall,NCR,2000,Self-Service,27-11-2000,1,76.36573686,5,593.9447986,16001,79.33619091,1.364565304,4.382507164,14
ATM_65,Bank Branch,Diebold,2016,,21-12-2022,1,54.89084273,2,583.1258251,,84.23726368,3.96190898,,4
ATM_66,Shopping Mall,NCR,2012,Self-Service,07-07-2023,2,40.66830998,1,379.8284009,1284,97.99212165,1.965111667,1.530001815,16
ATM_67,Bank Branch,Wincor Nixdorf,2008,Full-Service,06-09-2021,1,43.7728016,4,,18515,119.1848491,,0.813750122,18
ATM_68,Airport,Diebold,2017,Full-Service,27-11-2006,2,60.78390774,6,662.8271369,13846,115.5695021,0.849910318,4.756421544,17
ATM_69,Bank Branch,Diebold,2014,Full-Service,24-01-2017,1,54.85881002,0,418.0812983,10196,107.6903084,4.738226713,1.871647695,12
ATM_70,Airport,Wincor Nixdorf,2020,Self-Service,10-02-2009,,66.78559316,,293.3567204,10275,,1.172306906,1.356247737,15
ATM_71,Shopping Mall,Diebold,2004,Parts-Only,27-07-2007,4,57.92810739,5,541.0153863,11587,96.92996229,2.724076803,3.056649342,8
ATM_72,Standalone,Wincor Nixdorf,2009,Full-Service,22-09-2003,3,58.77337096,2,,15783,,2.272959905,2.014875149,
ATM_73,Shopping Mall,NCR,2017,,06-10-2014,,49.64089368,2,736.9476834,6181,109.8444198,0.057983944,3.994479862,9
ATM_74,Standalone,NCR,2019,Full-Service,13-08-2009,0,42.84390938,5,,8995,118.6491592,1.900403509,4.344734335,3
ATM_75,,,,Full-Service,08-09-2018,2,46.80766035,3,504.111115,14938,98.8889012,4.679031766,2.898185188,12
ATM_76,Shopping Mall,NCR,2002,Parts-Only,25-12-2010,3,36.14739708,5,348.9727487,8261,110.1816891,2.278087388,2.055232743,0
ATM_77,Shopping Mall,Diebold,2008,Full-Service,29-05-2023,0,19.66259148,2,564.3002593,10225,113.3872389,2.404973954,,21
ATM_78,Bank Branch,Wincor Nixdorf,2017,Parts-Only,07-03-2006,3,44.61304141,,214.2336272,6197,,1.192648597,3.051651039,15
ATM_79,,Diebold,,Self-Service,28-03-2014,4,,3,443.009594,,78.81154352,2.219162277,2.980997122,1
ATM_80,Standalone,Wincor Nixdorf,2007,,21-03-2002,,63.31950871,2,579.8026851,1175,61.85893739,1.112114927,1.307629202,16
ATM_81,Standalone,NCR,2016,,07-04-2001,1,,,489.123804,4617,111.7585567,3.901656208,3.930924295,4
ATM_82,Airport,Diebold,2016,Full-Service,05-10-2015,2,58.70632156,2,,19334,111.3836977,4.399620421,2.736432705,7
ATM_83,Standalone,Diebold,,Self-Service,18-08-2019,1,79.49151594,6,389.8297239,,106.5163141,3.904659139,3.805241845,12
,Shopping Mall,Diebold,2011,Parts-Only,14-07-2021,3,58.58245609,1,235.4628873,12410,113.3156999,3.666214817,0.364590444,23
ATM_85,,Wincor Nixdorf,2017,Full-Service,02-01-2005,4,22.48576196,1,754.3136588,6061,69.90270736,3.386625769,,14
ATM_86,Shopping Mall,NCR,2005,Full-Service,04-11-2012,3,55.49032226,3,489.7578372,15039,,0.604761525,4.692654717,8
ATM_87,Shopping Mall,NCR,2022,,12-07-2021,0,53.65958662,2,384.6269314,,120.9284565,4.42300837,2.594216025,7
ATM_88,,Wincor Nixdorf,2021,Parts-Only,04-06-2019,3,57.92835206,1,567.6287217,16465,68.71975522,1.539436569,0.451928238,17
ATM_89,Shopping Mall,NCR,2015,,28-10-2007,3,37.51814314,2,710.6089078,1209,97.17816353,,,
ATM_90,,Diebold,2022,Full-Service,14-09-2014,0,35.9118115,3,232.7510248,,,2.048160342,,22
ATM_91,Bank Branch,Diebold,2014,Full-Service,17-08-2008,1,,4,527.5945909,6152,122.6115173,,0.911142788,20
ATM_92,Airport,NCR,2020,Full-Service,07-07-2007,4,52.87811924,2,412.3679644,16914,110.3049156,0.953653941,3.616723957,5
ATM_93,Standalone,Wincor Nixdorf,2009,Parts-Only,27-03-2013,2,57.13064944,2,563.4955901,2713,,4.265324944,3.339626797,12
ATM_94,Shopping Mall,,2021,Parts-Only,14-04-2000,2,52.99260255,1,505.2894624,3518,58.05132879,1.381569897,3.272461082,
ATM_95,Airport,Wincor Nixdorf,2003,Full-Service,02-06-2005,1,39.96078082,9,674.197721,7737,72.85317175,3.896847623,4.794279428,
,Bank Branch,Wincor Nixdorf,2014,Full-Service,13-12-2016,3,43.87452677,2,485.3262361,1909,98.48497381,4.415384049,1.106639445,20
ATM_97,Standalone,Diebold,2002,Self-Service,29-06-2013,1,37.17495886,5,752.0904523,9070,90.60722099,0.585349413,3.657007628,20
ATM_98,Bank Branch,Diebold,2000,,28-05-2004,1,39.65509791,4,416.0982962,18904,143.3922721,1.523668372,2.270436601,11
ATM_99,Bank Branch,,2007,Parts-Only,19-06-2001,,39.64699044,7,676.3626099,14883,132.8350022,0.319391787,3.091710923,11
,Shopping Mall,Diebold,,,23-09-2006,2,64.56267827,7,568.5028305,,105.6227304,2.388009202,0.850134631,
ATM_101,Airport,Wincor Nixdorf,2011,Self-Service,13-02-2009,2,54.88293516,1,249.6111142,10385,86.22416249,1.625043951,3.624300564,21
ATM_102,Shopping Mall,NCR,2011,Parts-Only,24-08-2002,1,40.15654592,,489.2464206,11285,113.2521641,,1.830386109,22
ATM_103,Bank Branch,NCR,2009,Parts-Only,15-09-2018,0,32.65049936,3,696.7025088,,,3.199938953,0.76946312,13
ATM_104,Standalone,Wincor Nixdorf,2005,Self-Service,26-02-2023,3,,3,602.5277578,3210,,1.334568094,3.27047406,1
,Standalone,Diebold,2005,Parts-Only,21-02-2010,6,41.17452195,1,559.9952079,9852,100.1155558,0.657190246,0.108288684,12
ATM_106,Standalone,Wincor Nixdorf,,Full-Service,25-01-2001,2,45.63358544,1,0,13149,45.89245242,0.407560843,3.584838593,17
ATM_107,Shopping Mall,Wincor Nixdorf,2015,Self-Service,02-06-2000,1,51.17594938,5,748.0149696,4298,95.16194049,,3.709882257,
ATM_108,Bank Branch,NCR,2012,Self-Service,21-01-2010,,55.60643635,5,,16326,89.18403022,2.669621258,2.108497596,15
ATM_109,Standalone,,2022,Parts-Only,25-04-2013,1,44.21903438,2,623.4900518,9750,78.33673982,3.765663531,0.645471461,9
ATM_110,Bank Branch,Diebold,2015,Self-Service,26-07-2023,,57.93677931,6,,3737,,3.287708399,1.216379614,13
ATM_111,Shopping Mall,Diebold,2017,Full-Service,21-01-2017,0,57.59676643,1,733.1794874,17792,87.63099833,3.430523534,1.977057746,2
ATM_112,Shopping Mall,NCR,2001,Parts-Only,,4,52.24235952,1,700.5265301,14323,109.1977129,0.751855568,2.885377583,18
ATM_113,Airport,Diebold,2010,Self-Service,31-10-2006,,37.10277692,5,558.2787367,11302,91.46591877,3.00544953,0.777502072,14
ATM_114,Standalone,Wincor Nixdorf,2013,Full-Service,17-09-2020,,45.10697519,1,307.4090514,1742,97.9783977,4.179511159,3.29803152,15
ATM_115,Bank Branch,Diebold,,Self-Service,11-05-2012,,54.02869965,4,608.2474953,11602,119.2106048,1.998716814,0.080439248,4
,Bank Branch,Wincor Nixdorf,2013,Self-Service,08-03-2023,0,49.81983015,5,450.6911749,3285,62.12984636,1.117813742,3.262418212,3
ATM_117,,Diebold,,Self-Service,08-01-2004,0,49.70175001,,503.6189125,9094,82.94709227,3.449083878,4.147566112,
ATM_118,Airport,,2002,Self-Service,14-12-2012,3,51.50979949,2,689.6014516,1745,72.36521216,4.058091783,2.575244038,7
ATM_119,Airport,Diebold,,,,3,,,673.2501264,1013,76.07518579,3.382052304,0.73794613,7
ATM_120,Airport,,2013,Self-Service,23-04-2005,4,45.04225455,6,489.361039,,,4.415114601,4.702974436,12
ATM_121,Bank Branch,,2013,Self-Service,03-01-2017,1,50.65688499,3,751.588533,,98.98103503,1.728531516,2.066595988,19
ATM_122,Shopping Mall,Wincor Nixdorf,,,01-10-2007,,66.3423911,0,411.4453323,16170,110.147986,,3.862453991,6
ATM_123,Standalone,Diebold,2019,Self-Service,30-07-2000,1,65.40689826,1,282.7576839,9248,119.0950203,1.485636152,2.429703876,
ATM_124,Bank Branch,Diebold,2000,Full-Service,,0,59.97255507,8,505.8453689,11878,98.91260184,,0.675570503,
ATM_125,Shopping Mall,Diebold,,Parts-Only,,,29.71244278,,230.6249235,1464,107.8395465,2.943638308,1.215173005,12
ATM_126,Standalone,Wincor Nixdorf,2018,Self-Service,12-02-2017,1,66.01977569,1,630.7779711,2808,123.3269085,1.146448726,1.292910572,
ATM_127,Airport,,2013,Parts-Only,19-08-2011,1,33.76817287,2,480.65419,,111.3545714,1.453040527,4.598917945,8
ATM_128,Bank Branch,Wincor Nixdorf,2012,Full-Service,04-02-2022,,35.4998151,3,544.5057924,10992,94.0154356,1.078365749,3.65122376,16
ATM_129,Bank Branch,Diebold,2005,Parts-Only,24-06-2002,,8.016064787,6,746.2804555,10040,79.36579774,3.188679132,4.11729367,2
,Standalone,NCR,2010,Full-Service,22-09-2010,2,48.79742168,3,394.4374359,19368,72.21090294,2.272215208,2.299147256,16
ATM_131,Bank Branch,Diebold,2004,,17-04-2010,1,52.8139003,1,744.2523692,2738,152.048454,0.322934686,0.075959414,11
,Airport,NCR,2010,Full-Service,07-03-2018,2,62.46802373,2,595.2230624,1554,119.4135525,1.312996079,1.524381332,8
ATM_133,Bank Branch,Diebold,2019,Self-Service,,2,81.91979197,4,484.2844407,11586,128.8390239,3.548838493,2.433162075,13
ATM_134,Airport,Wincor Nixdorf,2006,Full-Service,21-09-2023,1,46.66001945,2,514.2274707,18864,147.2163514,4.900057846,0.375646578,17
ATM_135,Bank Branch,,2022,Parts-Only,01-01-2024,0,48.64522397,,661.8730199,5691,97.80210299,2.19636321,2.587963425,11
ATM_136,Airport,Diebold,2012,Parts-Only,06-07-2013,3,85.09615534,4,238.8015137,,67.5591551,4.721439919,,11
ATM_137,Shopping Mall,Wincor Nixdorf,2019,Self-Service,25-03-2018,2,15.55778551,2,443.2383085,10364,105.3948027,1.760811013,2.480249703,21
ATM_138,Airport,Wincor Nixdorf,2023,Full-Service,05-11-2021,0,34.68959702,,,6099,158.914849,2.406967154,0.541754479,12
ATM_139,Airport,NCR,2016,Full-Service,14-08-2017,4,,2,706.1135849,14549,98.98002375,1.365713572,3.505124898,23
ATM_140,Bank Branch,Diebold,2015,Full-Service,21-09-2004,0,61.58197704,5,404.9982568,13015,90.47183256,4.768188176,3.07663328,23
ATM_141,Bank Branch,Wincor Nixdorf,2022,Parts-Only,15-02-2001,2,60.33256366,1,506.8665266,6196,147.2536126,3.345788251,4.274660736,6
ATM_142,Shopping Mall,Wincor Nixdorf,2013,Self-Service,26-10-2023,0,67.85903069,6,423.1876459,18386,109.4336486,0.968038191,0.579907025,1
ATM_143,Bank Branch,Wincor Nixdorf,2020,Parts-Only,,1,54.65998109,,496.6451901,,118.3093174,3.753551965,0.169503809,7
ATM_144,Standalone,NCR,2022,Full-Service,,1,27.55899783,2,,14075,98.9505389,3.944791259,1.551835251,8
ATM_145,Standalone,NCR,2015,Self-Service,23-11-2005,1,49.42763379,4,510.7629332,18604,101.8264992,2.077843352,2.921727397,8
ATM_146,Shopping Mall,NCR,2017,Full-Service,22-12-2023,1,57.54356112,2,301.8801087,19560,66.42952302,3.059224426,1.736199583,3
ATM_147,Bank Branch,NCR,2022,Full-Service,10-02-2004,0,48.20767074,5,106.2579739,12907,120.5335718,1.604284161,3.494293607,23
ATM_148,Standalone,,,Self-Service,07-10-2003,1,63.28754105,4,552.4647717,,108.3856486,3.812497962,2.704360706,4
ATM_149,Bank Branch,Wincor Nixdorf,2015,Full-Service,11-11-2018,1,,2,529.9456849,2992,78.07971505,,2.332608667,6
ATM_150,Airport,NCR,2003,Self-Service,21-05-2022,0,65.02931588,0,198.8004154,14660,86.46419244,3.009316629,2.63005555,8
ATM_151,Standalone,Wincor Nixdorf,2021,Parts-Only,,2,23.99294278,4,408.5135782,11177,123.0516674,3.531014918,3.361490523,1
ATM_152,Standalone,Wincor Nixdorf,2001,Full-Service,05-08-2021,2,47.84883258,4,478.3381504,3614,124.4395111,,,21
,Standalone,NCR,2009,Parts-Only,13-11-2001,2,58.926624,7,296.2195924,17207,83.34805434,4.129884163,4.552547781,11
ATM_154,,Diebold,2004,Parts-Only,23-05-2018,2,65.58508521,4,503.368342,7880,89.21978098,4.394616296,3.737329582,16
ATM_155,Bank Branch,Diebold,2003,Full-Service,14-06-2002,5,30.45232837,4,,18171,120.7963546,1.132534076,2.156731132,0
ATM_156,Standalone,Wincor Nixdorf,2009,,01-10-2008,3,40.24830813,5,517.9501359,11511,,2.017826571,3.123700368,6
ATM_157,Airport,NCR,2002,Self-Service,18-09-2011,0,35.68909724,3,626.9472457,8065,87.61848339,3.223657064,0.465227815,22
ATM_158,Bank Branch,Diebold,2000,Full-Service,23-11-2014,2,47.42658225,5,367.8726641,3873,,1.234117863,0.029770347,4
ATM_159,Bank Branch,Diebold,2022,,17-12-2023,2,41.65674704,7,,1723,141.1626888,3.193507478,1.576576145,3
ATM_160,Bank Branch,Diebold,,Full-Service,09-08-2018,3,47.69093909,4,303.8566465,10787,78.32202243,4.03642855,0.733225197,6
ATM_161,Airport,Diebold,2022,Parts-Only,15-07-2006,4,44.612042,3,,13522,109.4296638,0.088389554,4.138453296,13
ATM_162,Shopping Mall,Diebold,2021,Full-Service,29-01-2001,1,56.78737914,6,586.761669,8887,113.7260273,4.415400561,4.618368815,3
ATM_163,Standalone,Wincor Nixdorf,2022,Self-Service,04-12-2006,5,56.84620426,3,480.5818469,1890,75.9080121,3.559919935,0.412990975,
ATM_164,,Wincor Nixdorf,2004,Self-Service,17-10-2004,1,48.48787012,4,842.9345963,11840,85.14068959,4.579618634,2.270286982,3
ATM_165,Standalone,NCR,2017,,,,57.6070073,1,496.7633994,15650,114.8414286,2.265635654,3.080639798,18
ATM_166,Shopping Mall,Diebold,2015,Full-Service,20-01-2004,1,,1,294.8683069,13290,,0.630124579,1.378195855,12
ATM_167,Standalone,,2003,Full-Service,08-09-2000,1,49.79805161,2,630.2117043,17538,,1.524543973,3.318984936,
ATM_168,Standalone,NCR,2020,Full-Service,26-05-2023,4,60.57627455,7,477.2505954,15575,107.1926893,4.052442834,,10
ATM_169,Shopping Mall,Wincor Nixdorf,2009,Self-Service,07-07-2004,6,24.65064256,5,239.5304188,15017,57.1628076,2.188576545,,6
ATM_170,Airport,NCR,2003,Parts-Only,02-07-2022,1,27.01202933,3,544.8569214,13330,153.5838444,2.264516053,4.83816703,2
ATM_171,Bank Branch,Diebold,2021,Self-Service,15-09-2021,0,45.7907001,1,659.5728692,18751,89.31617634,0.83637531,0.302957124,
ATM_172,Airport,Diebold,2020,Self-Service,26-05-2019,1,64.36649077,1,,19251,104.4438183,2.247672912,4.674574121,21
ATM_173,Bank Branch,Wincor Nixdorf,,Parts-Only,,0,12.6735452,2,812.682883,3563,65.48577202,,2.90134812,2
ATM_174,Shopping Mall,,2022,Parts-Only,30-06-2004,3,7.431093893,3,451.7718678,13692,119.1682776,3.342055286,2.45116499,12
,,Wincor Nixdorf,2022,Parts-Only,01-09-2023,2,40.64712521,3,299.9714058,7232,90.97888498,3.887166924,2.109524357,17
ATM_176,Airport,NCR,,Full-Service,28-09-2012,3,42.7010048,2,465.1013894,15929,118.5704376,2.11137703,,5
ATM_177,Bank Branch,NCR,2014,Parts-Only,09-10-2000,1,84.25453687,2,419.4434236,16338,116.4436589,3.363622663,0.049191034,8
ATM_178,,Diebold,2012,Full-Service,,3,69.85803578,2,617.784213,,,0.750903203,3.174415049,17
ATM_179,Standalone,NCR,2023,Parts-Only,,3,50.66203881,1,,,61.31496133,0.009871561,4.189916868,6
ATM_180,Standalone,NCR,2017,Parts-Only,,1,58.77690395,3,576.2976138,6661,116.7879827,1.137998857,1.414335533,8
,Shopping Mall,Diebold,2023,Full-Service,14-07-2021,2,36.46346518,5,426.4932574,13443,113.6546237,2.121761676,0.298364637,6
ATM_182,Bank Branch,NCR,2015,Self-Service,,2,25.64072171,3,567.9195073,5636,133.1750642,2.611370684,,12
ATM_183,Bank Branch,NCR,2012,Self-Service,09-09-2008,2,73.21459382,6,456.1805192,10553,107.0736919,,0.629441278,12
ATM_184,Shopping Mall,Diebold,2018,Parts-Only,09-12-2011,1,35.414934,2,370.5621768,,,2.837771359,4.09441558,17
ATM_185,Bank Branch,Diebold,2014,Full-Service,01-06-2011,0,48.79785615,9,443.7330754,7587,98.07756418,2.19105625,2.919846194,21
ATM_186,Standalone,Diebold,2016,Parts-Only,,2,,5,,7422,98.00478207,1.702081049,4.024531992,6
ATM_187,,Diebold,2007,Self-Service,28-05-2022,3,268.2135619,,602.5090238,19124,94.30601771,3.369423637,0.159156791,11
ATM_188,Shopping Mall,Diebold,2021,Self-Service,11-12-2022,2,739.2084242,1,4964.535256,1467,,4.380966384,4.63832028,15
ATM_189,Bank Branch,Diebold,2008,Self-Service,,2,50.40150794,5,780.0826842,2898,146.799786,,1.027694765,20
ATM_190,Shopping Mall,Wincor Nixdorf,2008,Parts-Only,28-09-2006,2,43.62326532,1,622.181518,4462,110.3986395,4.818021381,0.398991222,8
ATM_191,,Wincor Nixdorf,2023,Self-Service,30-06-2024,0,48.45573831,3,,8592,119.9381482,3.293646963,1.370646301,16
ATM_192,Standalone,Diebold,2011,Parts-Only,22-09-2017,2,50.7281419,1,450.2171139,10858,85.8643122,4.802782962,2.202398262,6
ATM_193,Standalone,Diebold,2015,Parts-Only,04-07-2010,1,47.20011996,3,369.7603412,16924,80.45576793,2.621588719,,16
ATM_194,Bank Branch,Wincor Nixdorf,2002,Self-Service,31-05-2018,0,78.31067822,1,548.6932302,16840,111.8806191,4.068658689,0.338850437,15
ATM_195,Shopping Mall,Wincor Nixdorf,2000,Self-Service,30-01-2005,1,68.5578016,1,332.2940573,12623,96.14913151,4.814892413,4.711888183,12
ATM_196,Airport,Diebold,2020,,,1,53.95260452,2,,2885,145.0115657,0.390125919,0.814684618,9
ATM_197,Shopping Mall,NCR,2016,Full-Service,06-08-2006,1,55.49952128,2,392.7758286,15474,78.19823464,3.682016419,0.454326748,0
ATM_198,Standalone,Wincor Nixdorf,2008,Self-Service,22-06-2005,5,30.77183449,0,667.4498387,6078,41.47034746,1.014327969,4.326610663,21
ATM_199,Bank Branch,Diebold,2004,Parts-Only,11-04-2014,3,41.76098197,2,,12306,98.94587682,3.413982947,4.510856953,5
ATM_200,Standalone,NCR,2018,,02-02-2000,2,43.05215146,4,539.1870557,,101.9560699,4.059576075,2.58555526,13
,,,,Self-Service,28-04-2004,2,47.09124319,0,778.0938075,14420,91.91980757,4.068426808,4.63256586,13
