ATM_ID,Location_Type,Manufacturer,Year_of_Installation,Service_Contract_Type,Last_Maintenance_Date,Frequency_of_Maintenance,Downtime_Duration_hours,Number_of_Incidents,Maintenance_Costs_USD,Transaction_Volumes,Average_Withdrawal_Amount,Card_Reader_Error_Rate_percent,Cash_Dispenser_Jam_Rate_percent,ATM_Age_Years
ATM_33,Standalone,NCR,2004,Full-Service,03-06-2000,0,50.49,5,450.89,6658,99.63,2.1,3.38,22
ATM_34,Standalone,Diebold,2008,Full-Service,31-05-2024,2,50.49,3,205.79,18870,105.79,2.16,2.88,11
ATM_35,Shopping Mall,Diebold,2023,Full-Service,03-06-2000,3,17.5,2,465.05,17802,108.71,3.62,4.94,8
ATM_36,Standalone,Diebold,2012,Self-Service,06-12-2000,3,55.86,1,758.53,10191,124.94,4.47,0.14,16
ATM_37,Bank Branch,NCR,2009,Self-Service,03-06-2000,2,35.73,3,451.11,10489,115.55,0.13,4.69,17
ATM_38,Shopping Mall,Wincor Nixdorf,2020,Parts-Only,03-06-2000,2,48.34,2,504.05,19273,96.21,2.65,3.81,5
ATM_39,Standalone,Diebold,2012,Parts-Only,23-01-2013,1,50.73,1,664.18,14268,116,2.34,0.26,1
ATM_40,Bank Branch,Diebold,2005,Self-Service,07-10-2022,4,46.75,4,545.75,15666,100.65,2.32,2.01,12
ATM_41,Bank Branch,NCR,2015,Parts-Only,07-03-2002,1,58,3,504.05,10191,84.04,4,1.46,5
ATM_42,Shopping Mall,Diebold,2011,Self-Service,29-04-2015,1,50.49,0,540.93,5103,111.47,0.26,1.56,0
ATM_43,Standalone,Diebold,2015,Parts-Only,11-05-2022,4,25.52,6,466.29,3032,104.31,4.17,3.33,8
ATM_44,Standalone,Wincor Nixdorf,2004,Parts-Only,11-08-2007,3,66.66,1,432.46,10410,112.36,2.65,2.14,8
ATM_45,Airport,NCR,2010,Parts-Only,08-02-2004,4,56.17,1,280.16,2417,111.19,3.03,0.58,0
ATM_46,Bank Branch,Wincor Nixdorf,2019,Full-Service,03-06-2000,2,53.85,2,311.43,8548,104.55,0.56,2,3
ATM_47,Airport,Diebold,2010,Parts-Only,13-03-2012,4,25.52,5,360.44,10838,123.59,2.88,2.48,10
ATM_48,Airport,Diebold,2007,Self-Service,13-12-2017,0,56.81,3,459.88,13571,93.03,3.02,0.24,2
ATM_49,Standalone,NCR,2015,Full-Service,23-06-2018,1,8.2,5,462.05,5144,70.84,0.63,4.83,7
ATM_50,Standalone,NCR,2012,Full-Service,04-09-2003,2,51.41,2,404.63,9607,103.14,2.75,3.15,10
ATM_51,Standalone,Diebold,2002,Self-Service,04-12-2001,2,55.39,2,668,3503,145.98,0.73,3.84,12
ATM_52,Standalone,Diebold,2002,Full-Service,06-11-2021,4,34.72,3,501.22,1642,37.96,4.53,1.93,5
ATM_53,Shopping Mall,Diebold,2008,Self-Service,24-07-2005,2,55.95,3,409.46,6679,119.11,3.35,2.6,19
ATM_54,Bank Branch,Diebold,2014,Self-Service,04-04-2023,0,64.83,3,706,19504,118.65,4.91,0.06,1
ATM_55,Airport,NCR,2003,Self-Service,03-06-2000,1,62.96,3,690.34,18702,100.73,4.52,1.27,3
ATM_56,Shopping Mall,NCR,2004,Parts-Only,07-11-2015,2,59.48,1,554.38,11003,112.83,1.91,1.43,1
ATM_57,Bank Branch,Diebold,2011,Full-Service,28-11-2000,5,20.64,4,433.89,9171,123.24,2.2,4.79,19
ATM_58,Airport,Wincor Nixdorf,2023,Parts-Only,04-12-2001,1,28.04,4,393.16,12560,94.48,3.75,2.57,14
ATM_59,Shopping Mall,Wincor Nixdorf,2011,Full-Service,03-06-2000,1,45.06,3,494.25,13946,120.06,2.87,2.6,7
ATM_60,Standalone,Diebold,2007,Self-Service,13-03-2015,0,35.19,4,517.81,4183,101.96,4.83,3.68,1
ATM_61,Shopping Mall,NCR,2012,Self-Service,29-08-2004,0,22.14,5,503.42,4473,99.83,4.13,1.52,12
ATM_62,Airport,Diebold,2002,Self-Service,15-07-2024,4,50.49,4,543.14,8454,148.08,1.81,4.1,23
ATM_63,Airport,Wincor Nixdorf,2021,Full-Service,23-08-2020,1,43.66,2,489.57,12101,95.65,0.1,0.14,11
ATM_64,Shopping Mall,NCR,2000,Self-Service,27-11-2000,1,76.37,5,593.94,16001,79.34,1.36,4.38,14
ATM_65,Bank Branch,Diebold,2016,Self-Service,21-12-2022,1,54.89,2,583.13,10191,84.24,3.96,2.6,4
ATM_66,Shopping Mall,NCR,2012,Self-Service,07-07-2023,2,40.67,1,379.83,1284,97.99,1.97,1.53,16
ATM_67,Bank Branch,Wincor Nixdorf,2008,Full-Service,06-09-2021,1,43.77,4,504.05,18515,119.18,2.65,0.81,18
ATM_68,Airport,Diebold,2017,Full-Service,27-11-2006,2,60.78,6,662.83,13846,115.57,0.85,4.76,17
ATM_69,Bank Branch,Diebold,2014,Full-Service,24-01-2017,1,54.86,0,418.08,10196,107.69,4.74,1.87,12
ATM_70,Airport,Wincor Nixdorf,2020,Self-Service,10-02-2009,2,66.79,3,293.36,10275,100.65,1.17,1.36,15
ATM_71,Shopping Mall,Diebold,2004,Parts-Only,27-07-2007,4,57.93,5,541.02,11587,96.93,2.72,3.06,8
ATM_72,Standalone,Wincor Nixdorf,2009,Full-Service,22-09-2003,3,58.77,2,504.05,15783,100.65,2.27,2.01,12
ATM_73,Shopping Mall,NCR,2017,Self-Service,06-10-2014,2,49.64,2,736.95,6181,109.84,0.06,3.99,9
ATM_74,Standalone,NCR,2019,Full-Service,13-08-2009,0,42.84,5,504.05,8995,118.65,1.9,4.34,3
ATM_75,Standalone,Diebold,2012,Full-Service,08-09-2018,2,46.81,3,504.11,14938,98.89,4.68,2.9,12
ATM_76,Shopping Mall,NCR,2002,Parts-Only,25-12-2010,3,36.15,5,348.97,8261,110.18,2.28,2.06,0
ATM_77,Shopping Mall,Diebold,2008,Full-Service,29-05-2023,0,19.66,2,564.3,10225,113.39,2.4,2.6,21
ATM_78,Bank Branch,Wincor Nixdorf,2017,Parts-Only,07-03-2006,3,44.61,3,214.23,6197,100.65,1.19,3.05,15
ATM_79,Standalone,Diebold,2012,Self-Service,28-03-2014,4,50.49,3,443.01,10191,78.81,2.22,2.98,1
ATM_80,Standalone,Wincor Nixdorf,2007,Self-Service,21-03-2002,2,63.32,2,579.8,1175,61.86,1.11,1.31,16
ATM_81,Standalone,NCR,2016,Self-Service,07-04-2001,1,50.49,3,489.12,4617,111.76,3.9,3.93,4
ATM_82,Airport,Diebold,2016,Full-Service,05-10-2015,2,58.71,2,504.05,19334,111.38,4.4,2.74,7
ATM_83,Standalone,Diebold,2012,Self-Service,18-08-2019,1,79.49,6,389.83,10191,106.52,3.9,3.81,12
ATM_84,Shopping Mall,Diebold,2011,Parts-Only,14-07-2021,3,58.58,1,235.46,12410,113.32,3.67,0.36,23
ATM_85,Standalone,Wincor Nixdorf,2017,Full-Service,02-01-2005,4,22.49,1,754.31,6061,69.9,3.39,2.6,14
ATM_86,Shopping Mall,NCR,2005,Full-Service,04-11-2012,3,55.49,3,489.76,15039,100.65,0.6,4.69,8
ATM_87,Shopping Mall,NCR,2022,Self-Service,12-07-2021,0,53.66,2,384.63,10191,120.93,4.42,2.59,7
ATM_88,Standalone,Wincor Nixdorf,2021,Parts-Only,04-06-2019,3,57.93,1,567.63,16465,68.72,1.54,0.45,17
ATM_89,Shopping Mall,NCR,2015,Self-Service,28-10-2007,3,37.52,2,710.61,1209,97.18,2.65,2.6,12
ATM_90,Standalone,Diebold,2022,Full-Service,14-09-2014,0,35.91,3,232.75,10191,100.65,2.05,2.6,22
ATM_91,Bank Branch,Diebold,2014,Full-Service,17-08-2008,1,50.49,4,527.59,6152,122.61,2.65,0.91,20
ATM_92,Airport,NCR,2020,Full-Service,07-07-2007,4,52.88,2,412.37,16914,110.3,0.95,3.62,5
ATM_93,Standalone,Wincor Nixdorf,2009,Parts-Only,27-03-2013,2,57.13,2,563.5,2713,100.65,4.27,3.34,12
ATM_94,Shopping Mall,Diebold,2021,Parts-Only,14-04-2000,2,52.99,1,505.29,3518,58.05,1.38,3.27,12
ATM_95,Airport,Wincor Nixdorf,2003,Full-Service,02-06-2005,1,39.96,9,674.2,7737,72.85,3.9,4.79,12
ATM_96,Bank Branch,Wincor Nixdorf,2014,Full-Service,13-12-2016,3,43.87,2,485.33,1909,98.48,4.42,1.11,20
ATM_97,Standalone,Diebold,2002,Self-Service,29-06-2013,1,37.17,5,752.09,9070,90.61,0.59,3.66,20
ATM_98,Bank Branch,Diebold,2000,Self-Service,28-05-2004,1,39.66,4,416.1,18904,143.39,1.52,2.27,11
ATM_99,Bank Branch,Diebold,2007,Parts-Only,19-06-2001,2,39.65,7,676.36,14883,132.84,0.32,3.09,11
ATM_100,Shopping Mall,Diebold,2012,Self-Service,23-09-2006,2,64.56,7,568.5,10191,105.62,2.39,0.85,12
ATM_101,Airport,Wincor Nixdorf,2011,Self-Service,13-02-2009,2,54.88,1,249.61,10385,86.22,1.63,3.62,21
ATM_102,Shopping Mall,NCR,2011,Parts-Only,24-08-2002,1,40.16,3,489.25,11285,113.25,2.65,1.83,22
ATM_103,Bank Branch,NCR,2009,Parts-Only,15-09-2018,0,32.65,3,696.7,10191,100.65,3.2,0.77,13
ATM_104,Standalone,Wincor Nixdorf,2005,Self-Service,26-02-2023,3,50.49,3,602.53,3210,100.65,1.33,3.27,1
ATM_105,Standalone,Diebold,2005,Parts-Only,21-02-2010,6,41.17,1,560,9852,100.12,0.66,0.11,12
ATM_106,Standalone,Wincor Nixdorf,2012,Full-Service,25-01-2001,2,45.63,1,0,13149,45.89,0.41,3.58,17
ATM_107,Shopping Mall,Wincor Nixdorf,2015,Self-Service,02-06-2000,1,51.18,5,748.01,4298,95.16,2.65,3.71,12
ATM_108,Bank Branch,NCR,2012,Self-Service,21-01-2010,2,55.61,5,504.05,16326,89.18,2.67,2.11,15
ATM_109,Standalone,Diebold,2022,Parts-Only,25-04-2013,1,44.22,2,623.49,9750,78.34,3.77,0.65,9
ATM_110,Bank Branch,Diebold,2015,Self-Service,26-07-2023,2,57.94,6,504.05,3737,100.65,3.29,1.22,13
ATM_111,Shopping Mall,Diebold,2017,Full-Service,21-01-2017,0,57.6,1,733.18,17792,87.63,3.43,1.98,2
ATM_112,Shopping Mall,NCR,2001,Parts-Only,03-06-2000,4,52.24,1,700.53,14323,109.2,0.75,2.89,18
ATM_113,Airport,Diebold,2010,Self-Service,31-10-2006,2,37.1,5,558.28,11302,91.47,3.01,0.78,14
ATM_114,Standalone,Wincor Nixdorf,2013,Full-Service,17-09-2020,2,45.11,1,307.41,1742,97.98,4.18,3.3,15
ATM_115,Bank Branch,Diebold,2012,Self-Service,11-05-2012,2,54.03,4,608.25,11602,119.21,2,0.08,4
ATM_116,Bank Branch,Wincor Nixdorf,2013,Self-Service,08-03-2023,0,49.82,5,450.69,3285,62.13,1.12,3.26,3
ATM_117,Standalone,Diebold,2012,Self-Service,08-01-2004,0,49.7,3,503.62,9094,82.95,3.45,4.15,12
ATM_118,Airport,Diebold,2002,Self-Service,14-12-2012,3,51.51,2,689.6,1745,72.37,4.06,2.58,7
ATM_119,Airport,Diebold,2012,Self-Service,03-06-2000,3,50.49,3,673.25,1013,76.08,3.38,0.74,7
ATM_120,Airport,Diebold,2013,Self-Service,23-04-2005,4,45.04,6,489.36,10191,100.65,4.42,4.7,12
ATM_121,Bank Branch,Diebold,2013,Self-Service,03-01-2017,1,50.66,3,751.59,10191,98.98,1.73,2.07,19
ATM_122,Shopping Mall,Wincor Nixdorf,2012,Self-Service,01-10-2007,2,66.34,0,411.45,16170,110.15,2.65,3.86,6
ATM_123,Standalone,Diebold,2019,Self-Service,30-07-2000,1,65.41,1,282.76,9248,119.1,1.49,2.43,12
ATM_124,Bank Branch,Diebold,2000,Full-Service,03-06-2000,0,59.97,8,505.85,11878,98.91,2.65,0.68,12
ATM_125,Shopping Mall,Diebold,2012,Parts-Only,03-06-2000,2,29.71,3,230.62,1464,107.84,2.94,1.22,12
ATM_126,Standalone,Wincor Nixdorf,2018,Self-Service,12-02-2017,1,66.02,1,630.78,2808,123.33,1.15,1.29,12
ATM_127,Airport,Diebold,2013,Parts-Only,19-08-2011,1,33.77,2,480.65,10191,111.35,1.45,4.6,8
ATM_128,Bank Branch,Wincor Nixdorf,2012,Full-Service,04-02-2022,2,35.5,3,544.51,10992,94.02,1.08,3.65,16
ATM_129,Bank Branch,Diebold,2005,Parts-Only,24-06-2002,2,8.02,6,746.28,10040,79.37,3.19,4.12,2
ATM_130,Standalone,NCR,2010,Full-Service,22-09-2010,2,48.8,3,394.44,19368,72.21,2.27,2.3,16
ATM_131,Bank Branch,Diebold,2004,Self-Service,17-04-2010,1,52.81,1,744.25,2738,152.05,0.32,0.08,11
ATM_132,Airport,NCR,2010,Full-Service,07-03-2018,2,62.47,2,595.22,1554,119.41,1.31,1.52,8
ATM_133,Bank Branch,Diebold,2019,Self-Service,03-06-2000,2,81.92,4,484.28,11586,128.84,3.55,2.43,13
ATM_134,Airport,Wincor Nixdorf,2006,Full-Service,21-09-2023,1,46.66,2,514.23,18864,147.22,4.9,0.38,17
ATM_135,Bank Branch,Diebold,2022,Parts-Only,01-01-2024,0,48.65,3,661.87,5691,97.8,2.2,2.59,11
ATM_136,Airport,Diebold,2012,Parts-Only,06-07-2013,3,85.1,4,238.8,10191,67.56,4.72,2.6,11
ATM_137,Shopping Mall,Wincor Nixdorf,2019,Self-Service,25-03-2018,2,15.56,2,443.24,10364,105.39,1.76,2.48,21
ATM_138,Airport,Wincor Nixdorf,2023,Full-Service,05-11-2021,0,34.69,3,504.05,6099,158.91,2.41,0.54,12
ATM_139,Airport,NCR,2016,Full-Service,14-08-2017,4,50.49,2,706.11,14549,98.98,1.37,3.51,23
ATM_140,Bank Branch,Diebold,2015,Full-Service,21-09-2004,0,61.58,5,405,13015,90.47,4.77,3.08,23
ATM_141,Bank Branch,Wincor Nixdorf,2022,Parts-Only,15-02-2001,2,60.33,1,506.87,6196,147.25,3.35,4.27,6
ATM_142,Shopping Mall,Wincor Nixdorf,2013,Self-Service,26-10-2023,0,67.86,6,423.19,18386,109.43,0.97,0.58,1
ATM_143,Bank Branch,Wincor Nixdorf,2020,Parts-Only,03-06-2000,1,54.66,3,496.65,10191,118.31,3.75,0.17,7
ATM_144,Standalone,NCR,2022,Full-Service,03-06-2000,1,27.56,2,504.05,14075,98.95,3.94,1.55,8
ATM_145,Standalone,NCR,2015,Self-Service,23-11-2005,1,49.43,4,510.76,18604,101.83,2.08,2.92,8
ATM_146,Shopping Mall,NCR,2017,Full-Service,22-12-2023,1,57.54,2,301.88,19560,66.43,3.06,1.74,3
ATM_147,Bank Branch,NCR,2022,Full-Service,10-02-2004,0,48.21,5,106.26,12907,120.53,1.6,3.49,23
ATM_148,Standalone,Diebold,2012,Self-Service,07-10-2003,1,63.29,4,552.46,10191,108.39,3.81,2.7,4
ATM_149,Bank Branch,Wincor Nixdorf,2015,Full-Service,11-11-2018,1,50.49,2,529.95,2992,78.08,2.65,2.33,6
ATM_150,Airport,NCR,2003,Self-Service,21-05-2022,0,65.03,0,198.8,14660,86.46,3.01,2.63,8
ATM_151,Standalone,Wincor Nixdorf,2021,Parts-Only,03-06-2000,2,23.99,4,408.51,11177,123.05,3.53,3.36,1
ATM_152,Standalone,Wincor Nixdorf,2001,Full-Service,05-08-2021,2,47.85,4,478.34,3614,124.44,2.65,2.6,21
ATM_153,Standalone,NCR,2009,Parts-Only,13-11-2001,2,58.93,7,296.22,17207,83.35,4.13,4.55,11
ATM_154,Standalone,Diebold,2004,Parts-Only,23-05-2018,2,65.59,4,503.37,7880,89.22,4.39,3.74,16
ATM_155,Bank Branch,Diebold,2003,Full-Service,14-06-2002,5,30.45,4,504.05,18171,120.8,1.13,2.16,0
ATM_156,Standalone,Wincor Nixdorf,2009,Self-Service,01-10-2008,3,40.25,5,517.95,11511,100.65,2.02,3.12,6
ATM_157,Airport,NCR,2002,Self-Service,18-09-2011,0,35.69,3,626.95,8065,87.62,3.22,0.47,22
ATM_158,Bank Branch,Diebold,2000,Full-Service,23-11-2014,2,47.43,5,367.87,3873,100.65,1.23,0.03,4
ATM_159,Bank Branch,Diebold,2022,Self-Service,17-12-2023,2,41.66,7,504.05,1723,141.16,3.19,1.58,3
ATM_160,Bank Branch,Diebold,2012,Full-Service,09-08-2018,3,47.69,4,303.86,10787,78.32,4.04,0.73,6
ATM_161,Airport,Diebold,2022,Parts-Only,15-07-2006,4,44.61,3,504.05,13522,109.43,0.09,4.14,13
ATM_162,Shopping Mall,Diebold,2021,Full-Service,29-01-2001,1,56.79,6,586.76,8887,113.73,4.42,4.62,3
ATM_163,Standalone,Wincor Nixdorf,2022,Self-Service,04-12-2006,5,56.85,3,480.58,1890,75.91,3.56,0.41,12
ATM_164,Standalone,Wincor Nixdorf,2004,Self-Service,17-10-2004,1,48.49,4,842.93,11840,85.14,4.58,2.27,3
ATM_165,Standalone,NCR,2017,Self-Service,03-06-2000,2,57.61,1,496.76,15650,114.84,2.27,3.08,18
ATM_166,Shopping Mall,Diebold,2015,Full-Service,20-01-2004,1,50.49,1,294.87,13290,100.65,0.63,1.38,12
ATM_167,Standalone,Diebold,2003,Full-Service,08-09-2000,1,49.8,2,630.21,17538,100.65,1.52,3.32,12
ATM_168,Standalone,NCR,2020,Full-Service,26-05-2023,4,60.58,7,477.25,15575,107.19,4.05,2.6,10
ATM_169,Shopping Mall,Wincor Nixdorf,2009,Self-Service,07-07-2004,6,24.65,5,239.53,15017,57.16,2.19,2.6,6
ATM_170,Airport,NCR,2003,Parts-Only,02-07-2022,1,27.01,3,544.86,13330,153.58,2.26,4.84,2
ATM_171,Bank Branch,Diebold,2021,Self-Service,15-09-2021,0,45.79,1,659.57,18751,89.32,0.84,0.3,12
ATM_172,Airport,Diebold,2020,Self-Service,26-05-2019,1,64.37,1,504.05,19251,104.44,2.25,4.67,21
ATM_173,Bank Branch,Wincor Nixdorf,2012,Parts-Only,03-06-2000,0,12.67,2,812.68,3563,65.49,2.65,2.9,2
ATM_174,Shopping Mall,Diebold,2022,Parts-Only,30-06-2004,3,7.43,3,451.77,13692,119.17,3.34,2.45,12
ATM_175,Standalone,Wincor Nixdorf,2022,Parts-Only,01-09-2023,2,40.65,3,299.97,7232,90.98,3.89,2.11,17
ATM_176,Airport,NCR,2012,Full-Service,28-09-2012,3,42.7,2,465.1,15929,118.57,2.11,2.6,5
ATM_177,Bank Branch,NCR,2014,Parts-Only,09-10-2000,1,84.25,2,419.44,16338,116.44,3.36,0.05,8
ATM_178,Standalone,Diebold,2012,Full-Service,03-06-2000,3,69.86,2,617.78,10191,100.65,0.75,3.17,17
ATM_179,Standalone,NCR,2023,Parts-Only,03-06-2000,3,50.66,1,504.05,10191,61.31,0.01,4.19,6
ATM_180,Standalone,NCR,2017,Parts-Only,03-06-2000,1,58.78,3,576.3,6661,116.79,1.14,1.41,8
ATM_181,Shopping Mall,Diebold,2023,Full-Service,14-07-2021,2,36.46,5,426.49,13443,113.65,2.12,0.3,6
ATM_182,Bank Branch,NCR,2015,Self-Service,03-06-2000,2,25.64,3,567.92,5636,133.18,2.61,2.6,12
ATM_183,Bank Branch,NCR,2012,Self-Service,09-09-2008,2,73.21,6,456.18,10553,107.07,2.65,0.63,12
ATM_184,Shopping Mall,Diebold,2018,Parts-Only,09-12-2011,1,35.41,2,370.56,10191,100.65,2.84,4.09,17
ATM_185,Bank Branch,Diebold,2014,Full-Service,01-06-2011,0,48.8,9,443.73,7587,98.08,2.19,2.92,21
ATM_186,Standalone,Diebold,2016,Parts-Only,03-06-2000,2,50.49,5,504.05,7422,98,1.7,4.02,6
ATM_187,Standalone,Diebold,2007,Self-Service,28-05-2022,3,268.21,3,602.51,19124,94.31,3.37,0.16,11
ATM_188,Shopping Mall,Diebold,2021,Self-Service,11-12-2022,2,739.21,1,4964.54,1467,100.65,4.38,4.64,15
ATM_189,Bank Branch,Diebold,2008,Self-Service,03-06-2000,2,50.4,5,780.08,2898,146.8,2.65,1.03,20
ATM_190,Shopping Mall,Wincor Nixdorf,2008,Parts-Only,28-09-2006,2,43.62,1,622.18,4462,110.4,4.82,0.4,8
ATM_191,Standalone,Wincor Nixdorf,2023,Self-Service,30-06-2024,0,48.46,3,504.05,8592,119.94,3.29,1.37,16
ATM_192,Standalone,Diebold,2011,Parts-Only,22-09-2017,2,50.73,1,450.22,10858,85.86,4.8,2.2,6
ATM_193,Standalone,Diebold,2015,Parts-Only,04-07-2010,1,47.2,3,369.76,16924,80.46,2.62,2.6,16
ATM_194,Bank Branch,Wincor Nixdorf,2002,Self-Service,31-05-2018,0,78.31,1,548.69,16840,111.88,4.07,0.34,15
ATM_195,Shopping Mall,Wincor Nixdorf,2000,Self-Service,30-01-2005,1,68.56,1,332.29,12623,96.15,4.81,4.71,12
ATM_196,Airport,Diebold,2020,Self-Service,03-06-2000,1,53.95,2,504.05,2885,145.01,0.39,0.81,9
ATM_197,Shopping Mall,NCR,2016,Full-Service,06-08-2006,1,55.5,2,392.78,15474,78.2,3.68,0.45,0
ATM_198,Standalone,Wincor Nixdorf,2008,Self-Service,22-06-2005,5,30.77,0,667.45,6078,41.47,1.01,4.33,21
ATM_199,Bank Branch,Diebold,2004,Parts-Only,11-04-2014,3,41.76,2,504.05,12306,98.95,3.41,4.51,5
ATM_200,Standalone,NCR,2018,Self-Service,02-02-2000,2,43.05,4,539.19,10191,101.96,4.06,2.59,13
ATM_201,Standalone,Diebold,2012,Self-Service,28-04-2004,2,47.09,0,778.09,14420,91.92,4.07,4.63,13
ATM_202,Standalone,Diebold,2001,Self-Service,06-12-2004,1,53.62,1,819.39,13899,110.76,0.14,4,22
ATM_203,Bank Branch,Diebold,2023,Self-Service,27-12-2007,2,59.27,1,394.4,10191,100.65,4.76,1.24,9
ATM_204,Bank Branch,Wincor Nixdorf,2022,Parts-Only,03-06-2000,2,57.69,2,485.19,10413,100.65,1.67,4.16,23
ATM_205,Airport,Diebold,2012,Full-Service,04-11-2016,3,56.21,6,544.1,10191,86.75,3.67,4.82,17
ATM_206,Standalone,Diebold,2022,Parts-Only,11-03-2012,0,37.5,3,573.48,5020,100.65,1.33,0.04,9
ATM_207,Shopping Mall,NCR,2010,Parts-Only,10-09-2004,5,66.43,0,658.74,5016,100.65,2.65,0.75,20
ATM_208,Shopping Mall,Diebold,2002,Self-Service,28-07-2020,2,48.75,5,504.05,2818,86.31,3.34,2.2,8
ATM_209,Standalone,Wincor Nixdorf,2012,Full-Service,03-06-2000,2,48.63,2,382.18,19501,95.08,1.75,2.78,14
ATM_210,Standalone,NCR,2022,Parts-Only,03-06-2000,2,35.74,3,659.2,9641,86.51,2.57,2.47,6
ATM_211,Bank Branch,NCR,2009,Full-Service,08-10-2020,2,50.49,4,370.81,4580,100.08,2.65,1.98,6
ATM_212,Shopping Mall,NCR,2003,Self-Service,05-10-2000,2,45.61,3,772,18249,78.38,4.73,4.57,14
ATM_213,Bank Branch,NCR,2002,Parts-Only,15-10-2004,3,32.74,3,520.67,19154,96.19,0.22,3.33,2
ATM_214,Airport,NCR,2014,Full-Service,28-04-2017,3,33.13,4,464.96,19515,91.8,1.7,3.22,2
ATM_215,Standalone,NCR,2002,Self-Service,29-11-2000,3,50.49,1,335.33,17734,105.21,1.3,2.6,12
